date,F_0_51_T_1_0,F_1_01_T_1_5,F_1_51_T_2_0,F_2_01_T_2_5,F_2_51_T_3_0,F_3_01_T_3_5,test, 25_Perc, Median ,75_Perc
01/18/11,,,,,,,,,,
03/07/11,,,,,,,,,,
04/18/11,,,,,,,,,,
06/13/11,,,,,,,,,,
08/01/11,,,,,,,,,,
09/12/11,,,,,,,,,,
10/24/11,,,,,,,,,,
12/05/11,,,,,,,,,,
01/17/12,,,,,,,,,,
03/05/12,,,,,,,,,,
04/16/12,,,,,,,,,,
06/11/12,,,,,,,,,,
07/23/12,,,,,,,,,,
09/04/12,,,,,,,,,,
10/15/12,,,,,,,,,,
11/29/12,,,,,,,,,,
01/22/13,,,,,,,,,,
03/07/13,,,,,,,,,,
04/22/13,,,,,,,,,,
06/10/13,,,,,,,,,,
07/22/13,,,,,,,,,,
09/09/13,,,,,,,,,,
10/22/13,,,,,,,,,,
12/09/13,,,,,,,,,,
01/21/14,,,,,,,,,,
03/10/14,,,,,,,,,,
04/22/14,,,,,,,,,,
06/09/14,,,,,,,,,,
07/21/14,,,,,,,,,,
09/08/14,,,,,,,,,,
10/20/14,,,,,,,,,,
12/08/14,4,13,30,34,14,6,101,2,2.15,2.2
01/20/15,4,13,32,31,13,7,100,1.9,2,2.2
03/09/15,4,13,32,32,14,6,101,1.9,2,2.2
04/16/15,4,12,31,32,14,7,100,1.9,2.1,2.25
06/04/15,4,12,32,32,14,6,100,2,2,2.2
07/20/15,4,12,31,34,13,6,100,2,2.1,2.2
09/08/15,4,12,32,34,13,5,100,2,2.1,2.2
10/19/15,4,12,32,34,12,5,99,1.9,2.1,2.2
12/07/15,4,12,32,35,12,5,100,2,2.1,2.2
01/19/16,4,12,32,35,12,5,100,2,2.1,2.2
03/07/16,4,12,33,35,12,5,101,2,2.1,2.2
04/18/16,4,12,31,35,13,5,100,2,2.1,2.2
06/06/16,3,11,33,37,12,4,100,2,2.1,2.2
07/18/16,4,11,32,37,12,4,100,2,2.1,2.2
09/12/16,4,12,31,35,12,5,99,2,2.1,2.2
10/24/16,4,11,30,37,13,5,100,2,2.1,2.2
12/05/16,4,12,28,37,14,5,100,2,2.1,2.25
01/23/17,4,11,29,37,15,5,101,2,2.2,2.3
03/06/17,3,11,26,39,15,5,99,2.1,2.2,2.3
04/24/17,3,11,27,38,16,5,100,2.1,2.2,2.3
06/05/17,4,11,30,36,15,5,101,2.1,2.2,2.3
07/17/17,3,11,28,40,13,5,100,2,2.2,2.25
09/11/17,3,11,27,41,13,4,99,2,2.1,2.2
10/23/17,3,11,27,41,14,4,100,2,2.2,2.2
12/04/17,3,11,27,40,14,5,100,2,2.2,2.3
01/22/18,3,11,29,38,14,5,100,2,2.2,2.3
03/12/18,3,11,29,39,14,5,101,2.01,2.2,2.3
04/23/18,3,11,29,39,14,5,101,2.1,2.2,2.3
06/04/18,3,11,24,43,14,5,100,2.1,2.2,2.3
07/23/18,3,11,24,43,14,5,100,2.1,2.2,2.3
09/17/18,3,12,27,38,15,5,100,2.1,2.2,2.3
10/29/18,4,12,27,38,14,5,100,2.1,2.2,2.3
12/10/18,4,11,29,38,14,5,101,2,2.2,2.3
01/22/19,4,11,29,38,14,5,101,2,2.15,2.25
03/11/19,4,11,29,37,13,5,99,2,2.1,2.25
04/22/19,4,12,29,38,12,5,100,2,2.1,2.2
06/10/19,4,11,30,36,14,5,100,2,2.13,2.25
07/22/19,4,12,29,36,14,5,100,2,2.1,2.23
09/09/19,4,12,30,36,14,5,101,2,2.1,2.23
10/21/19,4,13,30,35,14,5,101,2,2.10,2.23
12/02/19,4,12,30,35,14,5,100,2,2.10,2.23
01/21/20,3,12,29,36,14,5,99,2,2.10,2.28
03/09/20,4,13,30,35,14,5,101,2,2.10,2.23
04/20/20,,,,,,,,,,
06/01/20,8,21,33,26,10,3,101,1.73,1.95,2.1
07/20/20,7,18,38,24,10,3,100,1.78,1.85,2.05
09/08/20,7,16,37,26,11,3,100,1.8,2,2.1
10/26/20,6,16,36,28,11,3,100,1.83,2,2.1
12/07/20,6,15,34,30,12,3,100,1.9,2,2.15
01/19/21,5,14,30,36,13,3,101,1.98,2,2.2
03/08/21,4,12,29,35,17,4,101,2,2.13,2.2
04/19/21,4,9,24,39,20,4,100,2.00,2.20,2.45
06/07/21,3,7,20,39,25,5,99,2.10,2.30,2.63
07/19/21,3,7,19,38,27,7,101,2.20,2.35,2.68
09/13/21,3,6,17,37,30,8,101,2.20,2.45,2.70
10/25/21,3,6,16,35,31,9,100,2.30,2.58,2.78
12/06/21,3,5,17,33,29,14,101,2.30,2.58,2.88
01/18/22,2,5,17,32,28,17,101,2.35,2.63,3.00
03/07/22,3,5,16,27,29,20,100,2.45,2.68,2.95
04/25/22,3,6,15,25,26,25,100,2.5,2.8,3.1